encompass_id,name,action
278196,SNACK STOP #2,create
278205,JD MARKET -RIVERSIDE,create
278211,7 ELEVEN #36586,create
278212,7 ELEVEN #36587,create
278213,7 ELEVEN #36641,create
278214,7 ELEVEN #36591,create
278215,7 ELEVEN #36642,create
278216,7 ELEVEN #36597,create
278217,7 ELEVEN #36636,create
278218,7 ELEVEN #36604,create
278221,APPLE GROCERY,create
278435,RANDALLS #2987,create
278449,BIG DADDY'S (W MAIN ST),create
278510,SPEED IN FOOD STORE,create
278553,SUPER LA MORIANA GROCERY STORE,create
278568,CIRCLE K #2704673,create
278570,CIRCLE K #2704675,create
278572,CIRCLE K #2704677,create
278575,CIRCLE K #2704680,create
278577,CIRCLE K #2704682,create
278578,CIRCLE K #2704683,create
278579,CIRCLE K #2704684,create
278582,CIRCLE K #2704687,create
278583,CIRCLE K #2704688,create
278586,CIRCLE K #2704691,create
278587,CIRCLE K #2704692,create
278619,SIGNATURE #09,create
278620,SIGNATURE #02,create
278679,7 ELEVEN #35792,create
278685,7 ELEVEN #35808,create
2788633,DJ'S FOOD AND GAS STOP,create
2788639,POLO CLUB SHELL,create
27863159,BUC-EE'S #28,create
27863196,EASY LANE STOP,create
27863206,CEDAR FOOD MART,create
27863210,DOLLAR GENERAL #13481,create
27863248,WALGREENS #15156,create
27863321,SOCCER ZONE SOUTH AUSTIN,create
27863349,NUECES MART,create
27863388,DOLLAR GENERAL #13848,create
27863405,DOLLAR GENERAL #13115,create
27863419,DELL PARMER NORTH 1 - DELL DINING,create
27863447,RANCHO FOOD MART (WAHHAB BUSINESS LLC),create
27863462,7 ELEVEN #35878,create
27863505,THE VILLAGE MARKET (W SYLVAN),create
27863509,BEECAVES CHEVRON,create
27863541,RIVER CITY MARKET,create
27863560,BREAD BASKET (WEST GATE),create
27863654,BEVERAGE BARN 2,create
27863689,HOME DEPOT #6570,create
27863727,MOSAIC MARKET,create
27863953,HEB #639,create
27863954,APPLE MART,create
27863955,ELROY & ROSS MARKET,create
27864017,FOOD BOX MANCHACA FOOD INC.,create
27864021,RIVERSIDE MART,create
27864027,7 ELEVEN #35881,create
27864037,JD'S SUPERMARKET #6,create
27864101,DOLLAR GENERAL #14603,create
27864126,DOLLAR GENERAL #14467,create
27864153,CVS #8925,create
27864156,STAR STOP #74,create
27864163,FIVE BELOW #1112,create
27864175,LA FAMILIA MARKET,create
27864181,COSTCO #1152,create
27864207,STAR STOP #82,create
27864208,STAR STOP #72,create
27864227,STAR MARKET (THAXTON RD),create
27864228,ROYAL BLUE #4,create
27864246,EVEREST LIQUOR (11TH ST),create
27864276,7 ELEVEN #36999,create
27864290,CORNER STORE #1318,create
27864296,STAR STOP #75,create
27864302,AYAAN FOOD MART,create
27864327,STASSNEY FOOD MART,create
27864405,HOME DEPOT #6892,create
27864415,MAX E MART # 13,create
27864429,BREAD BASKET (KYLE),create
27864442,7 ELEVEN #36680,create
27864562,HOME DEPOT #6542,create
27864633,JC LIQUORS,create
27864707,ROYAL BLUE RAINEY,create
27864758,LEOS STOP N SAVE (LYONS AVE),create
27864761,AMPLIFIED FOOD MART,create
27864803,HOME DEPOT #06531,create
27864901,HOME DEPOT #8454,create
27864939,CHRIS LIQUOR,create
27864961,BEATNIKS MARKET,create
27864996,STAR STOP #73,create
27865053,GARLIC CREEK FOOD MART,create
27865080,BASTROP EXPRESS,create
27865081,LOWE'S BLANCO,create
27865085,POCO LOCO BEN WHITE,create
27865086,MI RANCHO MEAT MARKET #3,create
27865088,CHESTNUT EXPRESS,create
27865117,CORNER STORE #1552,create
27865127,CEDAR MART (BASTROP),create
27865136,DOLLAR GENERAL #15565,create
27865188,HOME DEPOT #6575,create
27865191,WALGREENS #15672,create
27865237,KWIK CHEK #61,create
27865240,WALMART SUPERCENTER #4130,create
27865255,SAM'S CLUB #6188,create
27865307,ORANGE MARKET #2,create
27865393,LA MEXICANA (FM 969),create
27865395,HU LA HU MARKET,create
27865453,TOTAL WINE & MORE (BRODIE LN),create
27865465,CVS #10139,create
27865466,BREAD BASKET (ROSS RD),create
27865473,KWIK CHEK #62,create
27865493,CIRCLE K #2704031,create
27865568,FIVE BELOW #1141,create
27865629,CVS #10535,create
27866576,AUSTIN SELECT MARKET - BARTON,create
27866591,PETRO BARN #467,create
27866685,ORANGE MARKET #3,create
27866695,HEB #708,create
27867070,DOLLAR GENERAL #16194,create
27867145,HEB #714,create
27867168,7 ELEVEN #41114,create
27867274,WHOOP STOP (HWY 21 E),create
27867291,HOMETOWN LIQUOR,create
27867323,LA MEXICANA MARKET (S I 35),create
27867371,MURPHY'S USA #7567,create
27867461,TRACY'S DRIVE IN,create
27867474,PILOT TRAVEL CENTER #105900,create
27867518,AUSTIN SELECT MARKET - RIVERSIDE,create
27867571,FAST BREAK #7,create
27867572,FAST BREAK #9,create
27867592,SNAX MAX #1,create
27867593,SNAX MAX #2,create
27867594,SNAX MAX #3,create
27867667,AJS LIQUOR,create
27867671,JACK'S GROCERY SAN MARCOS,create
27867757,VALERO #1570,create
27867819,LONE STAR SOUVENIR,create
